file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\1\R_srh_pfree_to_ntrap.csv,1,0.0,0.01,R_srh_pfree_to_ntrap,m^{-3} s^{-1},1.1250000042650754e-08,6.0626323824193234e+26,5.2356882086825955e+25,0,6.782986554838667e+29
sim\snapshots\1\R_ss_srh.csv,1,0.0,0.01,R_ss_srh,m^{-3} s^{-1},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\sigma_e.csv,1,0.0,0.01,sigma_e,S/m,9.351548669548487e-15,134.81484985351562,1.37022573381612,0,156989269.32073155
sim\snapshots\1\sigma_h.csv,1,0.0,0.01,sigma_h,S/m,7.291219375900023e-16,66.27306365966797,0.705809837742588,0,93502884.64585562
sim\snapshots\1\Te.csv,1,0.0,0.01,Te,K,1.1250000042650754e-08,300.0,147.50001043312463,0,489537.6790119946
sim\snapshots\1\Th.csv,1,0.0,0.01,Th,K,1.1250000042650754e-08,300.0,147.50001043312463,0,489537.6790119946
sim\snapshots\1\Tl.csv,1,0.0,0.01,Tl,K,1.1250000042650754e-08,300.0,147.50001043312463,0,489537.6790119946
sim\snapshots\1\T_srh_nfree_to_ntrap.csv,1,0.0,0.01,T_srh_nfree_to_ntrap,m^{-3} s^{-1},1.1250000042650754e-08,6.0626323824193234e+26,5.235688208682842e+25,0,6.782986554838667e+29
sim\snapshots\1\T_srh_pfree_to_ptrap.csv,1,0.0,0.01,T_srh_pfree_to_ptrap,m^{-3} s^{-1},1.1250000042650754e-08,2.0548752002060636e+24,1.5874136333778014e+23,0,6.540462277089147e+26
sim\snapshots\2\boundary_x0.csv,2,0.0,0.02,boundary_x0,au,0.0,42.0,20.650000226875,0,47257382.4952828
sim\snapshots\2\boundary_x1.csv,2,0.0,0.02,boundary_x1,au,0.0,42.0,20.650000226875,0,47257382.4952828
sim\snapshots\2\boundary_y0.csv,2,0.0,0.02,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\2\boundary_y1.csv,2,0.0,0.02,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
